34196
My Darling Clementine | Linda Darnell | cast_member
Explorers (Star Trek: Deep Space Nine) | The Die Is Cast (Star Trek: Deep Space Nine) | follows
As Time Goes By (TV series) | United Kingdom | country_of_origin
The Killers (1964 film) | John Williams | composer
José Carlos Guimarães | Luanda | place_of_birth
Lumière and Company | United Kingdom | country_of_origin
Big Wednesday | Vietnam War | main_subject
Paar (film) | Om Puri | cast_member
Do the Right Thing | Spike Lee | producer
Grindhouse (film) | Film | instance_of
Clerks II | Kevin Smith | cast_member
Trilogy (ATB album) | ATB | performer
The Sea Wolves | United Kingdom | country_of_origin
Nancy J. Currie | University of Houston | educated_at
Mars Attacks! | Washington, D.C. | narrative_location
The Cameo of the Yellowstone | Mutual Film | distributed_by
Under Heavy Fire | Vietnam War | main_subject
Spike Lee | African Americans | ethnic_group
Tony Gatlif | Film director | occupation
Annie Hall | Film | instance_of
Kamisese Mara | London School of Economics | educated_at
Sammo Hung | Film director | occupation
Sing When You're Winning | Swing When You're Winning | followed_by
Fortunes of Captain Blood | Paul Sawtell | composer
Bad Education (film) | Alberto Iglesias | composer
Against the Wind (film) | United Kingdom | country_of_origin
Slalom (film) | Film | instance_of
Dramatic Theme | Pink Floyd | performer
Netaji Subhas Chandra Bose: The Forgotten Hero | Divya Dutta | cast_member
David Cross | Jews | ethnic_group
Elizabeth Allan | Hove | place_of_death
Novodevichy Cemetery | Moscow | located_in_the_administrative_territorial_entity
For Your Consideration (film) | Michael McKean | cast_member
Day for Night (film) | Jacqueline Bisset | cast_member
Angel in Blue Jeans | Cadillac, Cadillac | followed_by
Avatar (2009 film) | James Cameron | screenwriter
Nikolai Lemtyugov | Ak Bars Kazan | member_of_sports_team
Behind the Candelabra | Marvin Hamlisch | composer
La Paz | Taipei | twinned_administrative_body
Ladder 49 | John Travolta | cast_member
Leona Lewis | Mezzo-soprano | voice_type
Aria (film) | Robert Altman | director
Greta Garbo | Renal failure | cause_of_death
She's Having a Baby | John Hughes (filmmaker) | producer
Devil's Knot (film) | Atlanta | filming_location
Unidentified Flying Oddball | Film | instance_of
The Pure Weight of the Heart | United Kingdom | country_of_origin
Titanic (1997 film) | James Cameron | director
The Ghost War | Thriller (genre) | genre
Transformers: Age of Extinction | Steven Spielberg | executive_producer
Bean (film) | Burt Reynolds | cast_member
Revenge of the Pink Panther | The Pink Panther Strikes Again | follows
Make You Feel My Love | Adele | performer
Two Blondes | Fantasy literature | genre
Wolf Lake (film) | Rod Steiger | cast_member
Snatched | Randy Edelman | composer
Crazy Beat | EMI | record_label
Coffee and Cigarettes | Jim Jarmusch | producer
Sandra Peterson (politician) | Minnesota Democratic–Farmer–Labor Party | member_of_political_party
Snapper Music | London | headquarters_location
Terry Stacey | United Kingdom | country_of_citizenship
Broadway Serenade | Herbert Stothart | composer
Almost Famous | Cameron Crowe | director
Too Late the Hero (film) | United Kingdom | country_of_origin
Gunasundari Katha | Film | instance_of
The Lost Planet | Spencer Gordon Bennet | director
Al Kolyn | Politician | occupation
Zamana (1985 film) | Rishi Kapoor | cast_member
Lovekiller (album) | Flashback (Darin album) | follows
Liam Neeson | Queen's University Belfast | educated_at
Evelyn Denington, Baroness Denington | Brighton | place_of_death
Les Mauvaises fréquentations | Film | instance_of
Megham | Mammootty | cast_member
Ek Bechara | Jeetendra | cast_member
Aria (film) | Bruce Beresford | director
Evgeny Shaldybin | Amur Khabarovsk | member_of_sports_team
Crazy English (film) | Film | instance_of
John S. Jackson | Trinity College, Dublin | educated_at
I Swear | John Michael Montgomery | performer
Believe (Orianthi album) | Geffen Records | record_label
Mikhail Yakubov | Centre (ice hockey) | position_played_on_team_/_speciality
The Girl of Your Dreams | Javier Aguirresarobe | director_of_photography
Everybody Hates Chris | Chris Rock | creator
Where There's a Will (novel) | Nero Wolfe | part_of_the_series
Song for America | Kansas (band) | performer
Shatranj (film) | Film | instance_of
Josefina Napravilová | Plzeň | place_of_birth
Carneirinho | Minas Gerais | located_in_the_administrative_territorial_entity
Gary Lord (rugby league) | Leeds Rhinos | member_of_sports_team
Alias (video game) | Russia | narrative_location
Mi Vida Loca (My Crazy Life) | Arista Nashville | record_label
Robert Sturges | Royal Navy | military_branch
Bayonne | Ascoli Piceno | twinned_administrative_body
Jingle All the Way | Film | instance_of
Julia (1977 film) | Douglas Slocombe | director_of_photography
Fredrik Modin | Toronto Maple Leafs | drafted_by
Lumière and Company | Spike Lee | director
Saw (2004 film) | Lionsgate Films | distributed_by
The Best Years of Our Lives | Samuel Goldwyn | producer
A Tribute to Bing Crosby | Mel Tormé | performer
Cooking Vinyl | United Kingdom | country
The Departed | Martin Sheen | cast_member
Raiders of the Desert | Richard Arlen | cast_member
Greenberg (film) | Focus Features | production_company
Borough of Tunbridge Wells | United Kingdom | country
Bunty Aur Babli | Prem Chopra | cast_member
Tarzan's Secret Treasure | Barry Fitzgerald | cast_member
Joe Somebody | David Finfer | film_editor
Johannesburg | Pretoria | twinned_administrative_body
The Bold Ones: The Protectors | Leslie Nielsen | cast_member
Fort Lauderdale Stadium | Fort Lauderdale, Florida | owned_by
Flesh Will Surrender | Aldo Tonti | director_of_photography
David Copperfield (1935 film) | W. C. Fields | cast_member
The Snake Pit | Film | instance_of
Chhalia | Pran (actor) | cast_member
The Road (2009 film) | Javier Aguirresarobe | director_of_photography
The Big Blue | United States Virgin Islands | filming_location
George Stevens | Legion of Merit | award_received
Argo (2012 film) | Ben Affleck | director
War Horse (film) | DreamWorks | production_company
Parthan Kanda Paralokam | Jayaram | cast_member
The Karate Killers | Film | instance_of
Black Hawk Down (film) | Jason Isaacs | cast_member
Vladimir Denisov (ice hockey) | Torpedo Nizhny Novgorod | member_of_sports_team
Don't Stop the Party (The Black Eyed Peas song) | Just Can't Get Enough (The Black Eyed Peas song) | follows
Un giorno nella vita | Alessandro Blasetti | screenwriter
Valence, Drôme | France | country
Cairo | Frankfurt | twinned_administrative_body
Charles Walters | Malibu, California | place_of_death
Abbie Cornish | Model (people) | occupation
Coldblooded (James Brown song) | Funky President (People It's Bad) | follows
It's a Wonderful World (1939 film) | Film | instance_of
Deb Fischer | Washington, D.C. | work_location
Vacanze a Ischia | Film | instance_of
Everybody in Jail | Piero Piccioni | composer
The Sixth Sense | M. Night Shyamalan | cast_member
Bye Bye Birdie (film) | Russian language | original_language_of_film_or_TV_show
The Royal Family of Broadway | Herman J. Mankiewicz | screenwriter
Predrag Drobnjak | Washington Wizards | drafted_by
Hansel & Gretel: Witch Hunters | Zoë Bell | cast_member
Breakdown (1997 film) | J. T. Walsh | cast_member
The Unfaithfuls | Mario Monicelli | screenwriter
He's Just Not That Into You (film) | Jennifer Connelly | cast_member
Hamilton O. Smith | National Academy of Sciences | member_of
Metal Slug (2006 video game) | Third-person shooter | genre
Somebody Help Me | The Spencer Davis Group | performer
Ivan Kasutin | Severstal Cherepovets | member_of_sports_team
National Gallery of Victoria | Art museum | instance_of
Daisies of the Galaxy | DreamWorks Records | record_label
Dmitri Obukhov | Russia | country_of_citizenship
Cradle 2 the Grave | Thriller (genre) | genre
Confessions of a Dangerous Mind | Brad Pitt | cast_member
Back to God's Country (1953 film) | Steve Cochran | cast_member
Return of the Seven | Film | instance_of
Dominant Species (video game) | Real-time strategy | genre
Maurice Brookhart | Chemist | occupation
Parenthood (film) | Ron Howard | screenwriter
Vapors (song) | Snoop Dogg | performer
Hassan Whiteside | Sacramento Kings | drafted_by
That Just About Does It | Right in the Wrong Direction | followed_by
Richard Brodeur | New York Islanders | member_of_sports_team
A. R. Rahman | Drum kit | instrument
Fadl ibn Shavur | Abu'l-Aswar Shavur ibn Fadl | father
Il bell'Antonio | Pier Paolo Pasolini | screenwriter
Fire with Fire (2012 film) | Bruce Willis | cast_member
Black Hand (1950 film) | Film | instance_of
The Intercontinentals | Nonesuch Records | record_label
Biloxi Blues (film) | Georges Delerue | composer
Émile Borel | France | country_of_citizenship
West Point (film) | New York | narrative_location
Gettysburg (1993 film) | Film | instance_of
Dr. Dre | West Coast hip hop | genre
Convict 99 | Film | instance_of
Henry E. Chambers | Stroke | cause_of_death
Herbert Marshall | World War I | conflict
Parking (1985 film) | Film | instance_of
Terry Stacey | University of Manchester | educated_at
Canton of Uri | Altdorf, Uri | capital
Java Head (1934 film) | United Kingdom | country_of_origin
There Was an Old Woman (novel) | Victor Gollancz Ltd | publisher
Free Willy 2: The Adventure Home | Elizabeth Peña | cast_member
Pearl of the South Pacific | Dennis Morgan | cast_member
Issola | St. Martin's Press | publisher
Bolivia | La Paz | capital
Escape (1940 film) | Mervyn LeRoy | director
That Night in Rio | Film | instance_of
Show Me a Hero | Jon Bernthal | cast_member
Bu Gece | Tarkan (singer) | performer
Deterrence (film) | Kevin Pollak | cast_member
The Dunwich Horror (film) | James H. Nicholson | producer
Robert Smith (musician) | Bass guitar | instrument
Raf Vallone | Midfielder | position_played_on_team_/_speciality
Arthur 3: The War of the Two Worlds | France | country_of_origin
Triple Tap | Daniel Wu | cast_member
In the Good Old Summertime | Buster Keaton | screenwriter
Dark Passage (film) | Delmer Daves | screenwriter
Brave Shot | Download | distribution_format
Ghost Town (2008 film) | Fred Murphy (cinematographer) | director_of_photography
The Eyes, the Mouth | Marco Bellocchio | screenwriter
Uppsala | Sweden | country
Sri Ramadasu | Tanikella Bharani | cast_member
How to Stuff a Wild Bikini | Mickey Rooney | cast_member
Andrei Pervyshin | Traktor Chelyabinsk | member_of_sports_team
Khartoum | Saint Petersburg | twinned_administrative_body
St Nicholas' Church, Wallasey | United Kingdom | country
The Origin of Love | Barclay Records | record_label
El Dorado (1988 film) | France | country_of_origin
The Primrose Ring (film) | Robert Z. Leonard | director
The Catered Affair | Film | instance_of
The Great Escape (film) | Film | instance_of
Gone Baby Gone | Ben Affleck | screenwriter
The Mexican Staring Frog of Southern Sri Lanka | City on the Edge of Forever | followed_by
Home Alone 2: Lost in New York | Raja Gosnell | film_editor
Running Scared (1986 film) | Peter Hyams | director
Kuri Kinton | Beat 'em up | genre
Tolomush Okeyev | Film director | occupation
Mikołaj %22the Black%22 Radziwiłł | Vilnius | place_of_death
Cerasella | Italian language | original_language_of_film_or_TV_show
Riddick (film) | Film | instance_of
Death Magnetic | Heavy metal music | genre
It Came from Hollywood | Film | instance_of
Criminology (song) | Loud Records | record_label
Catch Me If You Can | Leonardo DiCaprio | cast_member
The Birds (film) | Alfred Hitchcock | producer
Indian Air Force | White | color
The Greatest Show on Earth (TV series) | Jack Palance | director
Blow Dry | Film | instance_of
Jean Michel Jarre | France | country_of_citizenship
Joshua Lederberg | Nobel Prize in Physiology or Medicine | award_received
Hairpins (film) | George Barnes (cinematographer) | director_of_photography
Bill Downs | Kansas City, Kansas | place_of_birth
The Two Sergeants (1951 film) | Italian language | original_language_of_film_or_TV_show
Humanoids from the Deep | Roger Corman | producer
Come Back Around | Just the Way I'm Feeling | followed_by
Manhattan Murder Mystery | Robert Greenhut | producer
I'm a Monkey's Uncle | Jules White | director
Mulholland Falls | Historical period drama | genre
Bill McGill | Denver Nuggets | member_of_sports_team
Stanner E.V. Taylor | Film director | occupation
Cornered (1945 film) | Roy Webb | composer
Never Take No for an Answer | Nino Rota | composer
Everybody Go Home | Didi Perego | cast_member
Scooby-Doo 2: Monsters Unleashed | Raja Gosnell | director
The King and the Mockingbird | France | country_of_origin
Jeff Sessions | Selma, Alabama | place_of_birth
The Documentary | Aftermath Entertainment | record_label
Odette (film) | Herbert Wilcox | director
Home (Glee) | Glee (TV series) | part_of_the_series
Angel in Exile | Allan Dwan | director
The Well (1913 film) | General Film Company | distributed_by
The Murder Clinic | Ernesto Gastaldi | screenwriter
Blank Space | Taylor Swift | lyricist
Waterfront (1939 film) | Film | instance_of
Cartman's Mom Is a Dirty Slut | Trey Parker | director
T.I. | Atlanta | place_of_birth
Frank Cook | United Kingdom | country_of_citizenship
True Believer (1989 film) | Walter Parkes | producer
Just the Way I'm Feeling | The Echo Label | record_label
The County Chairman (1935 film) | Mickey Rooney | cast_member
Hollywood Hotel (film) | Bryan Foy | producer
Deep Throats | Family Guy | part_of_the_series
Disco Inferno (50 Cent song) | How We Do (song) | follows
Maradona by Kusturica | Serbia | country_of_origin
Lady Liberty (film) | Mario Monicelli | screenwriter
The Red Baron (2008 film) | Western Front (World War I) | main_subject
Richard Shepherd Software | Video game industry | industry
Les Espions | Georges Auric | composer
Chris Law (politician) | Politician | occupation
Seven (1995 film) | Brad Pitt | cast_member
Dreams for Sale | The Twilight Zone (1985 TV series) | part_of_the_series
The Congress (2013 film) | Film | instance_of
No Way Out (1987 film) | Film | instance_of
Raymond-Max Aubert | Politician | occupation
Merle Haggard | Guitar | instrument
Black Sunday (1960 film) | Italian language | original_language_of_film_or_TV_show
The Story of Christine von Herre | Paul Hartmann (actor) | cast_member
Flatliners | Oliver Platt | cast_member
Of Late I Think of Cliffordville | Rod Serling | screenwriter
The Crime of Monsieur Lange | Film | instance_of
Kiss Tomorrow Goodbye (film) | Film | instance_of
The Star Reporter | United Kingdom | country_of_origin
The Shoes of the Fisherman | Vittorio De Sica | cast_member
McQ | Elmer Bernstein | composer
Confessions of a Shopaholic (film) | Fred Armisen | cast_member
Walk Hard: The Dewey Cox Story | Columbia Pictures | distributed_by
Carl Ablett | Leeds Rhinos | member_of_sports_team
The House of Love (1990 album) | The House of Love | performer
You Will Meet a Tall Dark Stranger | Vilmos Zsigmond | director_of_photography
The Other Side (Aerosmith song) | Aerosmith | performer
Gabriel Carlsson | Columbus Blue Jackets | drafted_by
Con Air | Angela Featherstone | cast_member
Madea's Neighbors from Hell | Tyler Perry | director
The Shanghai Story | Frank Lloyd | director
Make It Easy | Yes (band) | performer
Puso ng Pasko | Star Cinema | production_company
Best Friend (Toy-Box song) | Tarzan & Jane (song) | follows
The Gold Medal (film) | Film | instance_of
Tom Brown (actor) | Lung cancer | cause_of_death
Yevgeni Fyodorov | Molot-Prikamye Perm | member_of_sports_team
Richie Barnett (rugby league, born 1981) | Hull F.C. | member_of_sports_team
Les plus belles escroqueries du monde | Jean-Luc Godard | cast_member
The Hangman (1959 film) | Film | instance_of
Scoop (2006 film) | Film | instance_of
Ellen Kuras | Film director | occupation
Igor Yemeleyev | HC Ugra | member_of_sports_team
Curly Sue | John Hughes (filmmaker) | director
Lancelot and Guinevere | Film | instance_of
Pavel Kutakhov (marshal) | Eastern Front (World War II) | conflict
Michael Garnett | HC MVD | member_of_sports_team
The Devil's Brigade (film) | Don Megowan | cast_member
Rosebud (film) | Otto Preminger | director
Dumitru Remenco | Chișinău | place_of_death
Saravana | Film | instance_of
Species III | Robert Knepper | cast_member
Adolf Hitler | Politician | occupation
Sri Simhachala Kshetra Mahima | Film | instance_of
Loopy De Loop | Film | instance_of
John Loves Mary | Ronald Reagan | cast_member
Tony Gervaise | United Kingdom | country_of_citizenship
What It Takes (Aerosmith song) | The Other Side (Aerosmith song) | followed_by
Michael Gambon | United Kingdom | country_of_citizenship
Andrei Zubarev | Atlanta Thrashers | member_of_sports_team
The Office (U.S. TV series) | J. J. Abrams | director
Alive (Empire of the Sun song) | Half Mast (Slight Return) | follows
About a Boy (film) | London | narrative_location
The Firemen of Viggiù | Aldo Tonti | cast_member
Annie (1982 film) | Carol Burnett | cast_member
Lilac Time (1928 film) | Carey Wilson (writer) | screenwriter
Anton Plenikowski | World War I | conflict
Buena Vista Social Club (film) | France | country_of_origin
The Show of Shows | Edward Ward (composer) | composer
It's a Wonderful World (1939 film) | Ben Hecht | screenwriter
Massacre in the Black Forest | Antonella Lualdi | cast_member
John Marty | Minnesota Democratic–Farmer–Labor Party | member_of_political_party
William Franklyn | Prostate cancer | cause_of_death
Yelaung, Hsawlaw | Myitkyina District | located_in_the_administrative_territorial_entity
Up All Night (Drake song) | Cash Money Records | record_label
Filmworks IX: Trembling Before G-d | John Zorn | producer
Thai Veedu | Vijayakumar (actor) | cast_member
Fade to Grey (Jars of Clay song) | Jars of Clay | performer
Wilbur Schramm | University of Illinois at Urbana–Champaign | employer
Reindeer Games | Ben Affleck | cast_member
Les Bons Vivants | France | country_of_origin
Carlton-Browne of the F.O. | Comedy | genre
Andrei Posnov | Krylya Sovetov Moscow | member_of_sports_team
Patrick Poulin | Hartford Whalers | drafted_by
Nero's Weekend | Film | instance_of
Square Enix | Square (company) | follows
The Origin of Love | The Boy Who Knew Too Much (album) | follows
Punch Broadbent | Montreal Maroons | member_of_sports_team
Detective Conan: The Raven Chaser | Ikue Ōtani | cast_member
The Victory of Faith | Leni Riefenstahl | screenwriter
Bad Taste | Peter Jackson | screenwriter
Alexander Rybakov | HC Vityaz | member_of_sports_team
Saw (2004 film) | Film | instance_of
Airplane! | Aviation accidents and incidents | main_subject
Riding High (1950 film) | Film | instance_of
Pasa Kiligal | Nassar | cast_member
Rodolfo Sonego | Italian language | languages_spoken,_written_or_signed
Play (Brad Paisley album) | Arista Nashville | record_label
Elektra (2005 film) | Arnon Milchan | production_company
The Man Who Shot Liberty Valance | John Ford | director
Party of Labour of Albania | Tirana | headquarters_location
Satham Podathey | Film | instance_of
The Sixth Sense | Tak Fujimoto | director_of_photography
Russia | Bryansk Oblast | contains_the_administrative_territorial_entity
The Breach (film) | Film | instance_of
I'd Rather Be Rich | Film | instance_of
Firstborn (1984 film) | Peter Weller | cast_member
Riding High (1950 film) | Bing Crosby | cast_member
The Eyes, the Mouth | Nicola Piovani | composer
The Upsetter (film) | Film | instance_of
In Harm's Way | Otto Preminger | director
Killer Queen | Queen (band) | performer
Paresh Rawal | Mumbai | place_of_birth
Hamlet (1948 film) | William Walton | composer
Robin Rand | Naval War College | educated_at
The Witch Tree Symbol | Grosset & Dunlap | publisher
Rosalyn Drexler | Pop art | movement
La Grande Vadrouille | Georges Auric | composer
Ismar Gorčić | Sarajevo | residence
Atlanta | Eastern Time Zone | located_in_time_zone
Slalom (film) | Italian language | original_language_of_film_or_TV_show
A Kid in King Arthur's Court | Film | instance_of
Christine A. Varney | Lawyer | occupation
The Miracle of the Bells | Ben Hecht | screenwriter
Rap Life | Battlecat (record producer) | producer
Tijeras, Chiriquí | Panama | country
Dick Tracy (1990 film) | Warren Beatty | producer
The Window | Film | instance_of
Lili | Ferris Webster | film_editor
Life Stinks | Mel Brooks | director
Hans (film) | Franco Nero | cast_member
Thank You Jan! | Another Future | follows
Her Favourite Husband | Mario Bava | director_of_photography
All I Want for Christmas (film) | Leslie Nielsen | cast_member
Corvetto (Milan Metro) | Azienda Trasporti Milanesi | maintained_by
Revenge of the Pink Panther | Adrienne Corri | cast_member
Otto Bertram | Wilhelmshaven | place_of_birth
Bad Education (film) | José Luis Alcaine | director_of_photography
Viktor Kostyuchenok | Minsk | place_of_birth
Muddat (1986 film) | Film | instance_of
Paul Cook (rugby league) | Huddersfield Giants | member_of_sports_team
Marty (film) | Burt Lancaster | producer
Animal (1977 film) | France | country_of_origin
Charles-Napoléon Dorion | Politician | occupation
Abu'l-Aswar Shavur ibn Fadl | Fadl ibn Shavur | followed_by
Straw Dogs (1971 film) | Dustin Hoffman | cast_member
Nixon (film) | John C. McGinley | cast_member
New Moon Rising (Buffy the Vampire Slayer) | The Yoko Factor | followed_by
Peter Doohan | Tulsa, Oklahoma | residence
The Homesman | James Spader | cast_member
Captains of the Clouds | Sol Polito | director_of_photography
Good Life (Kanye West song) | Kanye West | performer
James Moorhouse (politician) | Liberal Democrats | member_of_political_party
Show Me a Hero | Jim Belushi | cast_member
Build God, Then We'll Talk | Nine in the Afternoon | followed_by
The Adventures of Huck Finn (1993 film) | Ron Perlman | cast_member
Tall, Dark and Handsome | Film | instance_of
Horse trainer | Coach (sport) | subclass_of
Between Broadway & Hollywood | Explorations (Louis Bellson album) | followed_by
Scooby-Doo! and the Witch's Ghost | Tress MacNeille | cast_member
Lee Greenwood (rugby league) | Leigh Centurions | member_of_sports_team
The American Gun Mystery | Victor Gollancz Ltd | publisher
Captains of the Clouds | Alan Hale, Sr. | cast_member
Charged (album) | Nebula (band) | performer
Drive (2011 film) | Russ Tamblyn | cast_member
Anda Perianu | Brăila | residence
Murder in the Heartland | Milo O'Shea | cast_member
Flubber (film) | John Hughes (filmmaker) | screenwriter
Edward B. Lewis | Wilkes-Barre, Pennsylvania | place_of_birth
The Woman in the Window | Nunnally Johnson | screenwriter
Spheres (instrumental) | Surfing (song) | follows
The 300 Spartans | Rudolph Maté | director
Dorell Wright | Golden State Warriors | member_of_sports_team
Pascal Bonitzer | France | country_of_citizenship
Godhuli | Film | instance_of
Black Mask 2: City of Masks | Sony Pictures Entertainment | production_company
Tora-san, the Expert | Shochiku | distributed_by
Friedrich Vieweg | Braunschweig | place_of_death
Alive (1993 film) | Aviation accidents and incidents | main_subject
Mickey One | Columbia Pictures | distributed_by
MMMBop | Where's the Love | followed_by
The Elusive Pimpernel | John Longden | cast_member
Prayin' | Plan B (musician) | performer
Eye of the Needle (film) | London | filming_location
Judgment Night (The Twilight Zone) | Rod Serling | screenwriter
Northwest Stampede | Film | instance_of
Jeff Cowan | Atlanta Thrashers | member_of_sports_team
Isn't She Great | Amanda Peet | cast_member
Anthony Bushell | United Kingdom | country_of_citizenship
Rocky IV | James Brown | cast_member
Short Cuts (film) | Robert Altman | director
Every Man for Himself (1980 film) | Geneva | filming_location
Less Than Zero (film) | Film | instance_of
Jennifer on My Mind | Venice | filming_location
The Complete BBC Sessions (Cast album) | The Collection (Cast album) | follows
Ruslan Zainullin | HC MVD | member_of_sports_team
The Lawless Nineties | George %22Gabby%22 Hayes | cast_member
The Omen (2006 film) | Michael Gambon | cast_member
Kimi no Tame ni Boku ga Iru | Pony Canyon | record_label
Poetic Justice (film) | Film | instance_of
Giancarlo Ligabue | Businessperson | occupation
Stupid Girls | LaFace Records | record_label
The Ides of March (film) | Leonardo DiCaprio | producer
Alexei Burdeinei | Order of the Red Star | award_received
She's All That | Film | instance_of
Replay (Grimwood novel) | Fantasy | genre
Tin Hats | Film | instance_of
Truck Yeah | Tim McGraw | performer
A Night In | Sydney Lotterby | director
Venky | Sneha (actress) | cast_member
The Dream Team (film) | James Remar | cast_member
The Last Emperor | Columbia Pictures | distributed_by
The Light at the Edge of the World | Henri Decaë | director_of_photography
Lou Costello | Paterson, New Jersey | place_of_birth
As Good as It Gets | John Bailey (cinematographer) | director_of_photography
Bad Education (film) | José Salcedo | film_editor
Avant que l'ombre... (song) | Déshabillez-moi | followed_by
Father of the Bride (1991 film) | Alan Silvestri | composer
Side Effects (2013 film) | Steven Soderbergh | film_editor
Scream 4 | Wes Craven | director
Vernon Treatt | World War I | conflict
Darius (video game) | Taito Corporation | publisher
Colonel Chabert (1994 film) | Canal+ | distributed_by
Age of Indiscretion | William Axt | composer
Ida Lupino | United Kingdom | country_of_citizenship
New York Stories | Robert Greenhut | producer
Vidyarthikale Ithile Ithile | Adoor Bhasi | cast_member
Grindhouse (film) | Quentin Tarantino | director
Away We Go | Focus Features | distributed_by
Drum Beat | Delmer Daves | director
Alanna: The First Adventure | Atheneum Books | publisher
They Flew Alone | Film | instance_of
The Lost World (1925 film) | Arthur Conan Doyle | cast_member
The Flowers of St. Francis | Aldo Fabrizi | cast_member
Elisa, vida mía | Fernando Rey | cast_member
The Long Weekend (O' Despair) | Gregg Araki | director
Stan Winston | Arlington County, Virginia | place_of_birth
When You're Gone (Avril Lavigne song) | Hot (Avril Lavigne song) | followed_by
Dario Šarić | Orlando Magic | drafted_by
Actors (film) | Film | instance_of
The Cheetah Girls (film series) | Lynn Whitfield | cast_member
The Adventures of Rocky and Bullwinkle | John Goodman | cast_member
Steve Vick | Politician | occupation
Nikolai Tsulygin | Anaheim Ducks | member_of_sports_team
Italian language | Accademia della Crusca | language_regulatory_body
Find Me Guilty | Vin Diesel | cast_member
Cuba Crossing | Woody Strode | cast_member
Red Museum | Chris Carter (screenwriter) | screenwriter
May Madham | A. R. Rahman | composer
Hulchul (2004 film) | Priyadarshan | director
Voodoo Island | Reginald Le Borg | director
Mathew Hughes | Crimean War | conflict
Comcept | Tokyo | headquarters_location
Michel Debré | Sciences Po | educated_at
Monte Criollo | Arturo S. Mom | producer
Choreutis ornaticornis | Choreutis | parent_taxon
Grand Hotel (film) | Greta Garbo | cast_member
Craig Smith (basketball, born 1983) | Portland Trail Blazers | member_of_sports_team
Money (Blackadder) | Richard Curtis | screenwriter
1,000 Hours | Green Day | performer
Minority Report (film) | Steven Spielberg | director
The Runaways (film) | Tokyo | narrative_location
KT Tunstall | Pianist | occupation
Alice in Wonderland (2010 film) | Suzanne Todd | producer
Horseshoes (film) | Larry Semon | screenwriter
Mars Attacks! | Frank Welker | cast_member
A Date with the Falcon | George Sanders | cast_member
A Very Brady Sequel | Gary Cole | cast_member
The Legend of Billie Jean | Dean Stockwell | cast_member
Vyjayanthimala | Bharatiya Janata Party | member_of_political_party
The General Died at Dawn | Paramount Pictures | producer
The Predator (Animorphs) | K. A. Applegate | author
Star Spangled Salesman | Moe Howard | cast_member
Igor Yemeleyev | SKA Saint Petersburg | member_of_sports_team
Red Sonja (film) | Arnold Schwarzenegger | cast_member
Yathra | Balu Mahendra | director_of_photography
Watch on the Rhine | Washington, D.C. | narrative_location
Qalaat al-Madiq | Hama Governorate | located_in_the_administrative_territorial_entity
The Lord of the Rings (film series) | Peter Jackson | producer
Maha Chor | Neetu Singh | cast_member
Ali Eren Beşerler | Ankara | place_of_birth
Prêt-à-Porter (film) | Robert Altman | producer
Flipper's New Adventure | Brian Kelly (actor) | cast_member
George Simon (artist and archaeologist) | Guyana | place_of_death
Good Timin' (The Beach Boys song) | The Beach Boys | performer
Ryōtarō Shiba | Osaka | place_of_birth
Avengers: Age of Ultron | Joss Whedon | director
Goodnight, Ladies and Gentlemen | Vittorio Gassman | cast_member
Baba (2002 film) | A. R. Rahman | composer
Revelation (Sansom novel) | United Kingdom | country_of_origin
Sitamgar | Poonam Dhillon | cast_member
Jack Woolf | Arlington, Texas | place_of_death
Tales of Manhattan | W. C. Fields | cast_member
East Easy Rider | Head (Julian Cope song) | followed_by
The Very Merry Widows | Film | instance_of
Bus Stop (1956 film) | Film | instance_of
The Safety of Objects | Dermot Mulroney | cast_member
Eternal Sunshine of the Spotless Mind | Elijah Wood | cast_member
Von Ryan's Express | Film | instance_of
Loco Boy Makes Good | Vernon Dent | cast_member
Samaantharangal | Film | instance_of
Dangerous Curves (1929 film) | Film | instance_of
Tom and Jerry: The Magic Ring | Maurice LaMarche | cast_member
Spike Lee | Film director | occupation
La stanza del vescovo (film) | France | country_of_origin
Action Jackson (1988 film) | Matthew F. Leonetti | director_of_photography
Dr. T & the Women | Lyle Lovett | composer
Jonah Hex (film) | Film | instance_of
Maverick (film) | Film | instance_of
Sadhana Shivdasani | Mumbai | place_of_death
The Thin Pink Line | David Cross | cast_member
How We Do (song) | Aftermath Entertainment | record_label
Extreme Measures | Gene Hackman | cast_member
Veera Padhakkam | Sathyaraj | cast_member
Martin Růžička | Amur Khabarovsk | member_of_sports_team
George Harrison | Guitar | instrument
That Night in Rio | J. Carrol Naish | cast_member
Penguin Books | London | location_of_formation
A Man in Love (1987 film) | Georges Delerue | composer
Sutton Coldfield | United Kingdom | country
Léo Ferré | Monaco | place_of_birth
Looney Tunes Golden Collection: Volume 1 | Mel Blanc | cast_member
Looking for Richard | John Gielgud | cast_member
Dennis Brutus | Cape Town | place_of_death
Kim Seung-il (footballer) | North Korea | place_of_birth
The Big Trees | James R. Webb | screenwriter
Lisbon Story (1994 film) | Wim Wenders | screenwriter
Marginal (album) | Cago | followed_by
Three Comrades (film) | Lionel Atwill | cast_member
Argo (2012 film) | Michael Parks | cast_member
Michael Powell | United Kingdom | country_of_citizenship
The Last of the Finest | Brian Dennehy | cast_member
The Cop (1928 film) | Alan Hale, Sr. | cast_member
Soul Men | Matthew F. Leonetti | director_of_photography
