21274
Gilles Mbang Ondo | Libreville | wasBornIn
Michael Madsen | Final Combination | actedIn
Peter Coyote | All Roads Lead Home | actedIn
Stephen Baldwin | Let the Game Begin | actedIn
Kevin Tent | The Descendants | edited
Ludevít Grmela | FC Zbrojovka Brno | playsFor
Kathleen Harrison | Vote for Huggett | actedIn
Mahinda Rajapaksa | Sri Lanka | isPoliticianOf
Charles Previn | East Side of Heaven | wroteMusicFor
Josef von Sternberg | Blonde Venus | directed
Pawan Kalyan | Kushi (2001 film) | actedIn
Tim Armstrong | Roots Radicals | created
Dirch Passer | Majorens oppasser | actedIn
David Coulibaly | Roubaix | wasBornIn
Lupe Vélez | Honolulu Lu | actedIn
Feroz Khan (actor) | Kala Sona | actedIn
Patricia Clarkson | Easy A | actedIn
Eliran George | Hapoel Marmorek F.C. | isAffiliatedTo
Mario Nascimbene | Barabbas (1961 film) | wroteMusicFor
Michael Hoffman (director) | Promised Land (1987 film) | directed
Miroslav Štěpánek | Hamburger SV II | playsFor
Franco Nero | The Flower in His Mouth | actedIn
Paul Giamatti | The Little Prince (2015 film) | actedIn
Willem Dafoe | A Most Wanted Man (film) | actedIn
William Lundigan | Sailors on Leave | actedIn
Ava Gardner | The Sentinel (1977 film) | actedIn
Omar Kavak | Heracles Almelo | isAffiliatedTo
Cecilie Breil Kramer | Vittsjö GIK | isAffiliatedTo
Jack Chanda | Kabwe Warriors F.C. | isAffiliatedTo
Aftab Shivdasani | Daddy Cool (2009 Hindi film) | actedIn
Kenneth McMillan (actor) | Runaway Train (film) | actedIn
Red Hot Chili Peppers | Under the Bridge | created
Shemp Howard | Keep 'Em Slugging | actedIn
Alfred Vohrer | Und Jimmy ging zum Regenbogen | directed
Esther Muir | Misbehaving Husbands | actedIn
Ed Bogas | What a Nightmare, Charlie Brown! | wroteMusicFor
Damitha Abeyratne | Colombo | wasBornIn
Qaleh, Fars | Khafr District | isLocatedIn
Charles Previn | Keep 'Em Flying | wroteMusicFor
Joel Quartermain | Foreign Land (song) | created
Herschel Burke Gilbert | Comanche (1956 film) | wroteMusicFor
Sime Kovacevic | Sunshine George Cross FC | playsFor
Nikica Maglica | FK Proleter Zrenjanin | playsFor
Frank J. Urioste | Amityville 3-D | edited
Malvin Kamara | Forest Green Rovers F.C. | isAffiliatedTo
Carrie Fisher | Garbo Talks | actedIn
Mathieu Amalric | Quantum of Solace | actedIn
Esther Williams | Inglewood, California | wasBornIn
José Miranda (footballer) | Sevilla FC Puerto Rico | isAffiliatedTo
Charles M. Schulz | A Boy Named Charlie Brown | created
Fabrice Ondama | Congo national football team | playsFor
Jessie J | Laserlight (song) | created
Kitukutwe | Kira Town | isLocatedIn
Jane Darwell | Navy Wife (1935 film) | actedIn
Rudy Vallée | Happy Go Lucky (1943 film) | actedIn
Bobby E. Lüthge | The Third Squadron | created
David Sierra (footballer) | Madrid | wasBornIn
Aivi Luik | F.C. Indiana | playsFor
Emmanuel Mayuka | Kabwe Warriors F.C. | isAffiliatedTo
Ramon Novarro | In Gay Madrid | actedIn
Fernando Fernán Gómez | All About My Mother | actedIn
Kalateh-ye Seyyed Ali, South Khorasan | Nehbandan County | isLocatedIn
Rosamund Kwan | The Adventurers (1995 film) | actedIn
Joseph Schildkraut | Marie Antoinette (1938 film) | actedIn
The Notorious B.I.G. | Grew Up a Screw Up | created
Filippo Spitoni | S.S.D. Vis Pesaro 1898 | isAffiliatedTo
Major Lazer | Get Free (Major Lazer song) | created
The Church (band) | The Unguarded Moment (song) | created
Mark Mancina | August Rush | wroteMusicFor
Vítor Pereira (footballer, born 1953) | A.D. Sanjoanense | isAffiliatedTo
Miljan Radović | FK Lovćen | playsFor
Mirko Castillo | Detroit Rockers | isAffiliatedTo
Ben Shepherd | Black Rain (Soundgarden song) | created
Michael Madsen | Blood Red | actedIn
Lawrence Gray | Everybody's Acting | actedIn
Elwood Ullman | Scotched in Scotland | created
Suso Cecchi d'Amico | Bellissima (film) | created
John Brahm | The Undying Monster | directed
Edward Burns | Flight of the Phoenix (2004 film) | created
Ashutosh Rana | Monica (film) | actedIn
Damla Bozyel | Turkey women's national under-19 football team | playsFor
Sam Rockwell | The Way, Way Back | actedIn
Sarah Jessica Parker | Mars Attacks! | actedIn
Ryan Heins | Ocean City Nor'easters | playsFor
Lutz Pfannenstiel | Tampereen Pallo-Veikot | playsFor
K. A. Thangavelu | Gomathiyin Kaadhalan | actedIn
Luke Graham (footballer) | Alfreton Town F.C. | playsFor
Christian Corrêa Dionisio | São Paulo FC | isAffiliatedTo
Oskar Homolka | Rhodes of Africa | actedIn
Ben Gazzara | Tales of Ordinary Madness | actedIn
LL Cool J | S.W.A.T. (film) | actedIn
Walter DeLeon | The Ghost Breaker (1922 film) | created
Martina McBride | How I Feel (Martina McBride song) | created
Asmir Avdukić | NK Travnik | playsFor
Emil Newman | Rancho Notorious | wroteMusicFor
Dorothy Lamour | Rainbow Island (film) | actedIn
Frances Cox Henderson | James Pinckney Henderson | isMarriedTo
Robert Preston (actor) | Pacific Blackout | actedIn
Sowcar Janaki | Teen Bahuraniyan | actedIn
Klaus Kinski | My Best Fiend | actedIn
Safet Jahič | Slovenia national under-21 football team | playsFor
Usha Khanna | Puthooramputhri Unniyarcha | wroteMusicFor
John Pallone | New Kensington, Pennsylvania | wasBornIn
Prakash Raj | Josh (2009 film) | actedIn
Vanderson Stolk Francisco | Grêmio Esportivo Juventus | isAffiliatedTo
RZA | Mr. Right (2015 film) | actedIn
Haukur Páll Sigurðsson | Alta IF | playsFor
Franklin J. Schaffner | The Stripper (film) | directed
Adolph Deutsch | The Great Garrick | wroteMusicFor
Joan Allen | Nixon (film) | actedIn
Damian Lau | School on Fire | actedIn
Barbara Britton | The Great John L. | actedIn
Frank D. Gilroy | Westinghouse Studio One | created
Viola Lawrence | There's Always a Woman | edited
Kabiru Musa | Al-Ahed SC | isAffiliatedTo
Preetham Gubbi | Johny Mera Naam Preethi Mera Kaam | directed
Nuno Mendes (footballer) | Guimarães | wasBornIn
Zsolt Szabó (footballer) | FC Veszprém | playsFor
Bon Scott | Girls Got Rhythm | created
All-4-One | I Turn to You (All-4-One song) | created
Oscar M. Laurel | Loyola University New Orleans | graduatedFrom
Ken Russell | Wales | isCitizenOf
Morgan Freeman | Gone Baby Gone | actedIn
Benn Levy | Unfinished Symphony (film) | created
Ilyas Kashmiri (actor) | Dara Baloch | actedIn
Dwayne Johnson | Be Cool | actedIn
Robert G. Vignola | The Love That Lives | directed
Richard Štochl | Dunaferr SE (men's handball) | isAffiliatedTo
Arthur Wimperis | Julia Misbehaves | created
Jeff Duback | Boston Bolts | isAffiliatedTo
Andrew Blake (footballer) | New Zealand national under-17 football team | isAffiliatedTo
Mark Herman | The Boy in the Striped Pyjamas (film) | directed
Ron Jeremy | Queens | wasBornIn
G. N. Watson | Smith's Prize | hasWonPrize
Şükrü Ersoy | Turkey national football team | isAffiliatedTo
John Agar | Women of the Prehistoric Planet | actedIn
Jorge Costa Pires | Moreirense F.C. | playsFor
David Shire | All the President's Men (film) | wroteMusicFor
Rachel McAdams | The Hot Chick | actedIn
J-Roc (record producer) | Don't Hold the Wall | created
Dorothy Jordan (American actress) | Young Sinners | actedIn
Black Sabbath | Planet Caravan | created
Victor Correia | UJA Maccabi Paris Métropole | isAffiliatedTo
Au-yeong Pak Kuan | Singapore national football team | isAffiliatedTo
Howard Shore | The Departed | wroteMusicFor
Battle of Jiuliancheng | Yalu River | isLocatedIn
Aivi Luik | Ottawa Fury Women | playsFor
Tyronne Fernando | Sri Lanka | wasBornIn
Vadim Bolohan | FC Agro-Goliador Chișinău | isAffiliatedTo
Umakant Yadav | Azamgarh | wasBornIn
Antonio Siciliano | No Thanks, Coffee Makes Me Nervous | edited
Malcolm Young | Thunderstruck (song) | created
Guy Kibbee | The Silk Express | actedIn
Dinis Silva Gomes Resende | A.D. Sanjoanense | playsFor
Jim Connock | Digby, the Biggest Dog in the World | edited
Jim Gabarra | Los Angeles Heat | isAffiliatedTo
Gerd Oswald | Brainwashed (film) | directed
Christopher Young | Unforgettable (1996 film) | wroteMusicFor
Daddy Yankee | Oye Mi Canto | created
João Resende Alves | C.D. Montijo | isAffiliatedTo
R. E. Dearing | Good Morning, Boys | edited
Saeed Jaffrey | Suryavanshi (film) | actedIn
Raja Rafe | Al-Wehda Club (Mecca) | isAffiliatedTo
Renée Morisset | Quebec City | wasBornIn
Joseph Pevney | Istanbul (film) | directed
Diane Keaton | Darling Companion | actedIn
Laurence J. Burton | Ogden, Utah | wasBornIn
Scott Hileman | Arizona Sandsharks | isAffiliatedTo
Jane Ross (footballer) | Manchester City W.F.C. | playsFor
Dino Špehar | NK Istra 1961 | playsFor
Liu Yan (actress) | An Inspector Calls (2015 film) | actedIn
Grover Jones | The Lives of a Bengal Lancer (film) | created
Luciano Mutasi | UD Tijarafe | isAffiliatedTo
Leigh Nicol | Reading F.C. Women | isAffiliatedTo
Mohammed Ouseb | Namibia national football team | isAffiliatedTo
Sudheesh | Sthalam | actedIn
Shelley Winters | The New School | graduatedFrom
Tom Ricketts | Heart of Flame | directed
Aleksandr Yerkin | FC Khimik Dzerzhinsk | isAffiliatedTo
Dimitrije Injac | OFK Kikinda | playsFor
Damon Wayans | Blankman | created
University San Gregorio de Portoviejo | Portoviejo | isLocatedIn
Valéry Sanou | Sriracha F.C. | isAffiliatedTo
Santiago Hondo | Libreville | wasBornIn
Jock Mahoney | Overland Pacific | actedIn
Tantoyuca (municipality) | Tantoyuca | isLocatedIn
Alfred Newman (composer) | Wee Willie Winkie (film) | wroteMusicFor
Omolyn Davis | F.C. Indiana | playsFor
Lionel Newman | Love Me Tender (film) | wroteMusicFor
Tech N9ne | Worldwide Choppers | created
Charle | Nyaya Tharasu | actedIn
Sivaji (Telugu actor) | Kushi (2001 film) | actedIn
Jack Harris (film editor) | The Sleeping Cardinal | edited
Zedi Ramadani | NK Medulin 1921 | playsFor
Edie Adams | Love with the Proper Stranger | actedIn
Burgos, Surigao del Norte | Caraga | isLocatedIn
Stuart Baird | Whiteout (2009 film) | edited
Angus Macfadyen | We Bought a Zoo | actedIn
Orizaba | Veracruz | isLocatedIn
Olly Murs | Heart Skips a Beat | created
Split Enz | I Hope I Never | created
Cheech Marin | Once Upon a Time in Mexico | actedIn
David Daniel Álvarez | Comayagua F.C. | isAffiliatedTo
Samuel L. Jackson | Unbreakable (film) | actedIn
Michael Rapaport | Assassination of a High School President | actedIn
Jonathan Reguero | SD Leioa | playsFor
Hermann Olshausen | Humboldt University of Berlin | graduatedFrom
Mychael Danna | The Captive (2014 film) | wroteMusicFor
Maksim Ustinov | FC Lokomotiv-KMV Mineralnye Vody | playsFor
John Goodman | Speed Racer (film) | actedIn
Michel Colombier | Law Breakers | wroteMusicFor
Fyodor Milovanov | FC Volochanin-Ratmir Vyshny Volochyok | isAffiliatedTo
Charles Starrett | Start Cheering | actedIn
Patrick Mayo | South Africa | isCitizenOf
Chauncey Hugh Stigand | Boulogne-sur-Mer | wasBornIn
Millard Webb | Let Katie Do It | directed
Heather Angel (actress) | The Informer (1935 film) | actedIn
George Barbier (actor) | Mama Loves Papa (1933 film) | actedIn
Robert Preston (actor) | Junior Bonner | actedIn
Archana (actress) | Nandu (film) | actedIn
Hossein Shahabi | Hundred to One Hundred | edited
Victorias | Negros Occidental | isLocatedIn
George Hively | The Informer (1935 film) | edited
Clive Brook | Forgotten Faces (1928 film) | actedIn
Alexander Kovalyev | PFK Metallurg Bekabad | isAffiliatedTo
Juan Quero | Las Rozas CF | isAffiliatedTo
Mirko Grabovac | Singapore national football team | isAffiliatedTo
The Staple Singers | Let's Do It Again (song) | created
Matthew Mbuta | Bamenda | wasBornIn
Manuel Arteaga | Venezuela national under-20 football team | playsFor
Rajasekhar (actor) | Evadaithe Nakenti | actedIn
Dolores Silva | S.U. 1º de Dezembro | playsFor
Hilary Swank | Conviction (2010 film) | actedIn
Christopher Young | Shortcut to Happiness | wroteMusicFor
Slim Pickens | An Eye for an Eye (1966 film) | actedIn
Shkodër County | Albania | isLocatedIn
Giampaolo Parisi | A.S.D. G.C. Sora | isAffiliatedTo
Bernard Gorcey | David Gorcey | hasChild
Posht Bahar | Eshkanan District | isLocatedIn
Ray Fränkel | Suriname national football team | isAffiliatedTo
Salim Kumar | Once Upon a Time (2013 film) | actedIn
Ante Juric | Canberra | wasBornIn
Gandeshkan | Nehbandan County | isLocatedIn
Jamie Lowery | Port Alberni | wasBornIn
Oscar Hammerstein II | State Fair (1945 film) | created
Sidney Sam | FC Schalke 04 II | playsFor
Zsolt Szabó (footballer) | Győr | wasBornIn
David Prowse | Return of the Jedi | actedIn
Diana Rigg | Julius Caesar (1970 film) | actedIn
Tamás Takács | Szombathely | wasBornIn
Bernard Stevens | The Upturned Glass | wroteMusicFor
Mahesh Bhatt | Naya Daur (1978 film) | directed
Rashad Eyyubov | Khazar Lankaran FK | isAffiliatedTo
Denis Valekhovich Rodionov | FC Taganrog | playsFor
Robert Davi | The Dukes (film) | directed
Ásgeir Elíasson | Ungmennafélagið Víkingur | isAffiliatedTo
Aditya Pancholi | Mumbai Mirror (film) | actedIn
Charlie Rugg | Indy Eleven | playsFor
Rowland Leigh | Knickerbocker Holiday (film) | created
Clara Bow | The Ancient Mariner (film) | actedIn
Saimir Patushi | KF Tirana | isAffiliatedTo
Jon Bon Jovi | Misunderstood (Bon Jovi song) | created
Cor Pot | Al-Masry SC | isAffiliatedTo
Ellie Goulding | Powerful (song) | created
Amar Rouaï | USM Bel-Abbès | playsFor
Bashar Shbib | Lana in Love | created
Erkan Özbey | Turkey national football team | isAffiliatedTo
Baye Djiby Fall | AS Vitré | playsFor
Ryan Reynolds | School of Life | actedIn
Oleg Dimitrov | PFC Ludogorets Razgrad II | isAffiliatedTo
Oleksandr Suchu | FC Sevastopol-2 | isAffiliatedTo
Josiane Balasko | I Saw Ben Barka Get Killed | actedIn
Til Schweiger | SLC Punk! | actedIn
Ace Herman | Mexican Manhunt | edited
Marvin Hatley | Teacher's Pet (1930 film) | wroteMusicFor
Rudolph Valentino | Stolen Moments (film) | actedIn
Anthony Michael Hall | Results (film) | actedIn
Alexander David González | FC Thun | isAffiliatedTo
Kunchacko Boban | Cousins (2014 film) | actedIn
Feroz Khan (actor) | Yalgaar (1992 film) | actedIn
Jeremy Davies | Traverse City, Michigan | wasBornIn
Lilian Popescu | FC Ekibastuzets | playsFor
Emilio Aldama | Club Nacional | isAffiliatedTo
Michael Shonrock | St. Charles, Missouri | livesIn
Freddie Francis | Craze (film) | directed
Alexander Bumagin | HC Lada Togliatti | isAffiliatedTo
Silvino João de Carvalho | Grêmio Esportivo Juventus | playsFor
Margaret Leighton | Tony Award | hasWonPrize
Teimuraz Gongadze | FC Tbilisi | isAffiliatedTo
Ali Ashfaq | Club Valencia | playsFor
Örükzar | Batken Region | isLocatedIn
Y. R. Swamy | Devara Kannu | directed
Mick Tucker | Action (Sweet song) | created
Barbara Windsor | Carry On Henry | actedIn
Walter Brennan | Rio Bravo (film) | actedIn
Relangi Venkata Ramaiah | Chandraharam | actedIn
Rıza Şen | Arsinspor | playsFor
Glynis Johns | The Beachcomber (film) | actedIn
Juan Carlos Moreno Rojo | Cádiz CF B | isAffiliatedTo
Midge Ure | Visage (song) | created
William Bendix | Taxi, Mister | actedIn
James Byrne (musician) | Glencolmcille | diedIn
Michael Nyman | The Actors | wroteMusicFor
Mikel Canka | Lushnjë | wasBornIn
Balraj Sahni | Baazi (1951 film) | created
Gary Mackay-Steven | Airdrieonians F.C. | isAffiliatedTo
Shaan Rahman | Motorcycle Diaries (film) | wroteMusicFor
Nicolas Flégeau | Vannes OC | playsFor
George O'Brien (actor) | East Side, West Side (1927 film) | actedIn
Millard Webb | The Man from Painted Post | directed
Viswanathan–Ramamoorthy | Káthirunda Kangal | wroteMusicFor
Haley Kopmeyer | Apollon Limassol (women) | playsFor
Dustin Hoffman | The Lost City (2005 film) | actedIn
Pussy Galore (band) | Right Now! (Pussy Galore album) | created
Ángel Clemente Rojas | Argentina | isCitizenOf
Fereydun, South Khorasan | Arabkhaneh Rural District | isLocatedIn
Steve Jablonsky | Transformers (film) | wroteMusicFor
Sy Bartlett | The Amazing Mr. Williams | created
Bumayong | Morobe Province | isLocatedIn
Daniel Mandell | The Best Years of Our Lives | edited
Maureen O'Sullivan | Never Too Late (1965 film) | actedIn
Toby Gad | Unapologetic Bitch | created
Augusto Genina | Latin Quarter (1929 film) | directed
Chah-e Vali Eserkandar | Central District (Khatam County) | isLocatedIn
Bryan Lopez | Club Presidente Hayes | playsFor
Adilson Soares Cassamá | C.F. União de Lamas | isAffiliatedTo
Linkin Park | Mike Shinoda | isAffiliatedTo
Vinay Pathak | Khosla Ka Ghosla | actedIn
Zsa Zsa Gabor | The Most Wanted Man | actedIn
Rancid (band) | Life Won't Wait | created
Keenan Wynn | Shack Out on 101 | actedIn
Sooni Taraporevala | Salaam Bombay! | created
Edward Dmytryk | Walk on the Wild Side (film) | directed
Robert Downey Jr. | 1969 (film) | actedIn
Klaus Badelt | Constantine (film) | created
Vasco Regini | Italy under-21 Serie B representative team | isAffiliatedTo
Gav Savar, Ilam | Central District (Eyvan County) | isLocatedIn
Enrique Flamini | Talleres de Remedios de Escalada | isAffiliatedTo
Aziz Ibragimov | FC Shurtan Guzar | playsFor
W. Franke Harling | Souls at Sea | wroteMusicFor
Dennis Appiah | France national under-18 football team | isAffiliatedTo
Billy Currie | Lament (Ultravox song) | created
Ivaylo Petrov (footballer, born 1991) | Sliven | wasBornIn
Dean Dillon | I'll Never Forgive My Heart | created
Andrea D'Amico (footballer) | A.S.D. Olimpia Colligiana | playsFor
Kemokai Kallon | Tadamon Sour | isAffiliatedTo
DJ Khaled | Holla at Me | created
Edgar Wallace | The Hound of the Baskervilles (1932 film) | created
Marcus Ebdon | Peterborough United F.C. | playsFor
Alesia Graf | Gomel | wasBornIn
Wilfrid-Étienne Brunet | Quebec City | wasBornIn
Jack Burditt | Live from Studio 6H | created
Sudiat Dali | Singapore FA | isAffiliatedTo
Victor McLaglen | The River Pirate | actedIn
Robert Parrish | Up from the Beach | directed
Ilya Spitsyn | FC FSA Voronezh | isAffiliatedTo
Judith Ivey | Brighton Beach Memoirs (film) | actedIn
Maureen O'Sullivan | Duffy of San Quentin | actedIn
Emile Haynie | Blue Jeans (Lana Del Rey song) | created
Will Smith | Freakin' It | created
Timothy Lanane | Anderson, Indiana | wasBornIn
Miguel Alberto Marques | Moreirense F.C. | isAffiliatedTo
Roberto Volpato | Moreirense F.C. | playsFor
Ronnachai Rangsiyo | Assumption College (Thailand) | isAffiliatedTo
Ta'ang National Party | Shan State | isLocatedIn
Masaru Sato | Goyokin | wroteMusicFor
Mabel Poulton | Heart of an Actress | actedIn
Pavel Ruminov | Dead Daughters | wroteMusicFor
Delmer Daves | Never Let Me Go (1953 film) | directed
Alessandro Blasetti | Resurrection (1931 Italian film) | created
Ben Hayslip | Farmer's Daughter (Rodney Atkins song) | created
Benigno Chaparro | CA Marbella | isAffiliatedTo
Ugo Tognazzi | Femmine di lusso | actedIn
Andre Frolov | FC Flora U21 | isAffiliatedTo
Steven Spielberg | Amistad (film) | directed
Per Bill | Stockholm University | graduatedFrom
Frédéric Duplus | Vannes OC | isAffiliatedTo
Menahem Golan | Escape to the Sun | directed
Zelše | Inner Carniola | isLocatedIn
Jim Cummings | The Lion King | actedIn
Puri Jagannadh | Amma Nanna O Tamila Ammayi | directed
Richard Pearson (film editor) | Quantum of Solace | edited
Adrian Ionescu | CSM Metalul Reșița | isAffiliatedTo
Louis de Funès | The Mad Adventures of Rabbi Jacob | actedIn
Tom Bell (actor) | All the Right Noises | actedIn
John Hughes (filmmaker) | The Breakfast Club | directed
Maurice Jaubert | The Story of Adele H. | wroteMusicFor
Dylan McDermott | Mercy (2014 film) | actedIn
Yohei Iwasaki | Independiente F.B.C. | isAffiliatedTo
Mickaël Poté | Benin national football team | playsFor
Melvin Van Peebles | The Sophisticated Gents | actedIn
Bumayong | Papua New Guinea | isLocatedIn
Neil Jones (footballer) | New Zealand national under-17 football team | isAffiliatedTo
Clem Bevans | She Couldn't Say No (1940 film) | actedIn
Kasthuri Raja | Nattupura Pattu | created
Carl Falk | Really Don't Care | created
Shirley Knight | Mercy (2014 film) | actedIn
Raoul Kraushaar | Copper Sky | wroteMusicFor
Nick Rhodes | Falling Down (Duran Duran song) | created
Maria de Medeiros | Pasolini (film) | actedIn
Frank Langella | Cutthroat Island | actedIn
Albert Glasser | The Naked Monster | wroteMusicFor
Greta Scacchi | Country Life (film) | actedIn
Carrie Fisher | Undiscovered | actedIn
Ivanka Matić | Tarbes Gespe Bigorre | isAffiliatedTo
Patrick Mayo | Bush Bucks F.C. (1957) | isAffiliatedTo
Gazumun | Nimbeluk District | isLocatedIn
Meg Ryan | City of Angels (film) | actedIn
Ivan Rodić | FC Zorya Luhansk | playsFor
John Barry (composer) | Out of Africa (film) | created
Harry Keller | Tarnished | directed
Renée Taylor | Love Is All There Is | created
Reston, Virginia | Virginia | isLocatedIn
Leung Cheuk Cheung | Sing Tao SC | playsFor
J. K. Simmons | The Cider House Rules (film) | actedIn
Philip Van Zandt | Hot Stuff (1956 film) | actedIn
Vincent D'Onofrio | Impostor (film) | actedIn
Koel Mallick | Minister Fatakeshto | actedIn
Bokeem Woodbine | Freeway (1996 film) | actedIn
Roberto Gavaldón | The Littlest Outlaw | directed
Pier Paolo Pasolini | We Free Kings (film) | created
Kristijan Tucaković | FK Bane | playsFor
Gharghan | Faridan County | isLocatedIn
George Nichols (actor) | Keys of the Righteous | actedIn
Marco Beltrami | Seventh Son (film) | wroteMusicFor
Trevor Howard | Persecution (film) | actedIn
Rachel Weisz | Sunshine (1999 film) | actedIn
John Galliquio | FBC Melgar | playsFor
Vladimir Dolgopolov | FC Lokomotiv Saint Petersburg | playsFor
Rick Jones (voice actor) | The Adventures of Paddington Bear | created
Ásgeir Elíasson | Knattspyrnufélagið Þróttur | isAffiliatedTo
Enzo G. Castellari | Desert of Fire | directed
Maureen O'Sullivan | David Copperfield (1935 film) | actedIn
Sergi Arimany | SD Leioa | playsFor
First Indochina War | French Indochina | happenedIn
Joan Chen | Strangers (1992 film) | actedIn
James Cagney | Love Me or Leave Me (film) | actedIn
Raymond Massey | Mackenna's Gold | actedIn
Monaragala | Sri Lanka | isLocatedIn
William Steinkamp | Heartbreakers (2001 film) | edited
Ronald Davidson | The Lone Ranger (serial) | created
Julian Sands | Siesta (film) | actedIn
Álex Cacho | CD Izarra | isAffiliatedTo
Sebastian Glasner | Arminia Bielefeld | isAffiliatedTo
A. K. Lohithadas | Kamaladalam | created
Justin Timberlake | Don't Hold the Wall | created
Robert Woolsey | Everything's Rosie | actedIn
Cicely Tyson | Tony Award | hasWonPrize
Pascal Ochieng | Posta Rangers F.C. | playsFor
Pavlo Parshyn | MFC Mykolaiv | playsFor
Jorzolino Falkenstein | BVV Barendrecht | playsFor
Vuk Karadžić | Principality of Serbia | isCitizenOf
Rafael Ramazotti de Quadros | Grêmio Esportivo Juventus | isAffiliatedTo
Anthony Mann | Nobody's Darling | directed
Tom Forman (actor) | Venice, Los Angeles | diedIn
Djibril Zidnaba | Étoile Filante de Ouagadougou | isAffiliatedTo
Jim Thompson (writer) | Al-Wehda Club (Mecca) | playsFor
Trevor Howard | Sir Henry at Rawlinson End (film) | actedIn
Junior Salomon | Plateau United F.C. | isAffiliatedTo
Barbara McLean | People Will Talk | edited
I. S. Johar | North West Frontier (film) | actedIn
Harry Zech | FC Balzers | playsFor
Kim Suominen | Tampereen Pallo-Veikot | playsFor
Cheech Marin | Nice Dreams | created
Billy Currington | Good Directions | created
An Sung-hun | Incheon | wasBornIn
Ray Schnettgoecke | Detroit Express (1981–83) | isAffiliatedTo
Shinyanga Region | Shinyanga | hasCapital
Shaan Shahid | Shararat (2003 film) | actedIn
Faradjan | Comoé Province | isLocatedIn
Marshall Neilan | The Vagabond Lover | directed
Kingdom of Mysore | South Asia | isLocatedIn
Kyle Cook | All Your Reasons | created
Burt Lancaster | The Cassandra Crossing | actedIn
Robert B. Sherman | The Mighty Kong | wroteMusicFor
Ben Coker | Ånge IF | playsFor
The Miracles | Ooo Baby Baby | created
Marco Ferreri | Love in the City (1953 film) | created
Michal Janec | FK Kolín | isAffiliatedTo
Jude Law | The Imaginarium of Doctor Parnassus | actedIn
Mark Simpson (soccer) | Cincinnati Silverbacks | playsFor
Jay O. Sanders | V.I. Warshawski (film) | actedIn
Felix Katongo | Green Buffaloes F.C. | playsFor
Susan Sarandon | Speed Racer (film) | actedIn
Rob Reekers | Enschede | wasBornIn
William IV of the United Kingdom | Buckingham Palace | wasBornIn
Alan Heim | Bless the Child | edited
Julian Gallagher | Let's Dance (Five song) | created
Paul Wendkos | The Mephisto Waltz | directed
John Brahm | Bomber's Moon | directed
Eric Rogers (composer) | Carry On Henry | wroteMusicFor
Issa Sarr | ASC Diaraf | isAffiliatedTo
Iran Andrielle de Oliveira | Mixto Esporte Clube | isAffiliatedTo
Rekha (South Indian actress) | Idhu Oru Thodar Kathai | actedIn
Benjamin Frankel | A Girl in a Million | wroteMusicFor
Cheech Marin | Still Smokin (film) | created
Tolombeh-ye Kheyri | Miyan Deh Rural District | isLocatedIn
Medina (singer) | Execute Me | created
César Augusto Rivas | Independiente Medellín | playsFor
Russell Simpson (actor) | The Lone Star Ranger (film) | actedIn
Borislav Pilipović | NK Istra 1961 | isAffiliatedTo
Charles Takyi | Hamburger SV II | isAffiliatedTo
Louise Lorraine | With Stanley in Africa | actedIn
Prakash Raj | Amma Nanna O Tamila Ammayi | actedIn
Lárus Sigurðsson | Iceland national football team | playsFor
Laurence Fishburne | Assault on Precinct 13 (2005 film) | actedIn
George Brent | Mexican Manhunt | actedIn
Harry Liedtke | A Crazy Night | actedIn
Adolph Deutsch | The Great Mr. Nobody | wroteMusicFor
Anna Maria Picarelli | Seattle Sounders Women | playsFor
David Arnold | Iron Chef | created
Esmond Knight | The Silver Fleet | actedIn
Shelley Winters | An Average Little Man | actedIn
Michael Thomas (soccer) | Sporting Kansas City | playsFor
James Earl Jones | The Bingo Long Traveling All-Stars & Motor Kings | actedIn
Dick Powell | Joan Blondell | isMarriedTo
Ryan Goward | Glapwell F.C. | isAffiliatedTo
Eve Gray | Villa Falconieri (film) | actedIn
Felix Adler (screenwriter) | Butter Fingers | created
Ralph E. Winters | Ben-Hur (1959 film) | edited
Mohsen Makhmalbaf | Kandahar (2001 film) | edited
Arthur Wimperis | The Private Life of Henry VIII | created
Nicola Ciotola | L'Aquila Calcio 1927 | isAffiliatedTo
Gil Bellows | Black Day Blue Night | actedIn
Jason Mooney (Northern Irish footballer) | Oxford City F.C. | isAffiliatedTo
Pileh Sara | Siahkal County | isLocatedIn
Brad Smith (soccer) | Dayton Dynamo | playsFor
Jerry Ortiz y Pino | Albuquerque, New Mexico | isLeaderOf
Robert Taylor (actor) | Saddle the Wind | actedIn
Mohsen Makhmalbaf | At Five in the Afternoon | edited
Daron Malakian | Hypnotize (System of a Down song) | created
PJ Harvey | Good Fortune (song) | created
Betty Compson | The Wise Guy | actedIn
Marko Jakolić | FC Grenchen | playsFor
Matthias Morys | 1. FC Normannia Gmünd | playsFor
Lee Myung-se | M (2007 film) | directed
Patrick Lolo | AS Mangasport | playsFor
Sidney Blackmer | Woman Trap (1936 film) | actedIn
Guillaume Rippert | Stade Lavallois | isAffiliatedTo
T. A. Madhuram | Sathi Murali | actedIn
Ray Winstone | The Departed | actedIn
Walter Scharf | Casbah (film) | wroteMusicFor
Peter Lorre | M (1931 film) | actedIn
Indrek Zelinski | Pärnu | wasBornIn
Carol Littleton | Darling Companion | edited
Daniel Mainwaring | This Woman Is Dangerous | created
